Font: Xiaolai  Style: Regular
Point Size: 33   SP/PD Ratio: 15.2%

Characters included: 42244/43124
Missing characters: 880
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 2318	Hex: 90E	Char [ऎ]
ID: 2326	Hex: 916	Char [ख]
ID: 2339	Hex: 923	Char [ण]
ID: 2388	Hex: 954	Char [॔]
ID: 2425	Hex: 979	Char [ॹ]
ID: 2428	Hex: 97C	Char [ॼ]
ID: 2436	Hex: 984	Char [঄]
ID: 2461	Hex: 99D	Char [ঝ]
ID: 2535	Hex: 9E7	Char [১]
ID: 2577	Hex: A11	Char [਑]
ID: 2640	Hex: A50	Char [੐]
ID: 2660	Hex: A64	Char [੤]
ID: 2671	Hex: A6F	Char [੯]
ID: 2698	Hex: A8A	Char [ઊ]
ID: 2740	Hex: AB4	Char [઴]
ID: 2754	Hex: AC2	Char [ૂ]
ID: 2765	Hex: ACD	Char [્]
ID: 2771	Hex: AD3	Char [૓]
ID: 2829	Hex: B0D	Char [଍]
ID: 2845	Hex: B1D	Char [ଝ]
ID: 2959	Hex: B8F	Char [ஏ]
ID: 2975	Hex: B9F	Char [ட]
ID: 2984	Hex: BA8	Char [ந]
ID: 2985	Hex: BA9	Char [ன]
ID: 2999	Hex: BB7	Char [ஷ]
ID: 3007	Hex: BBF	Char [ி]
ID: 3014	Hex: BC6	Char [ெ]
ID: 3019	Hex: BCB	Char [ோ]
ID: 3042	Hex: BE2	Char [௢]
ID: 3051	Hex: BEB	Char [௫]
ID: 3067	Hex: BFB	Char [௻]
ID: 3071	Hex: BFF	Char [௿]
ID: 3083	Hex: C0B	Char [ఋ]
ID: 3085	Hex: C0D	Char [఍]
ID: 3104	Hex: C20	Char [ఠ]
ID: 3124	Hex: C34	Char [ఴ]
ID: 3130	Hex: C3A	Char [఺]
ID: 3131	Hex: C3B	Char [఻]
ID: 3137	Hex: C41	Char [ు]
ID: 3138	Hex: C42	Char [ూ]
ID: 3139	Hex: C43	Char [ృ]
ID: 3155	Hex: C53	Char [౓]
ID: 3173	Hex: C65	Char [౥]
ID: 3191	Hex: C77	Char [౷]
ID: 3192	Hex: C78	Char [౸]
ID: 3196	Hex: C7C	Char [౼]
ID: 3213	Hex: C8D	Char [಍]
ID: 3222	Hex: C96	Char [ಖ]
ID: 3228	Hex: C9C	Char [ಜ]
ID: 3253	Hex: CB5	Char [ವ]
ID: 3256	Hex: CB8	Char [ಸ]
ID: 3279	Hex: CCF	Char [೏]
ID: 3280	Hex: CD0	Char [೐]
ID: 3283	Hex: CD3	Char [೓]
ID: 3284	Hex: CD4	Char [೔]
ID: 3285	Hex: CD5	Char [ೕ]
ID: 3286	Hex: CD6	Char [ೖ]
ID: 3293	Hex: CDD	Char [ೝ]
ID: 3309	Hex: CED	Char [೭]
ID: 3327	Hex: CFF	Char [೿]
ID: 3349	Hex: D15	Char [ക]
ID: 3368	Hex: D28	Char [ന]
ID: 3377	Hex: D31	Char [റ]
ID: 3378	Hex: D32	Char [ല]
ID: 3397	Hex: D45	Char [൅]
ID: 3398	Hex: D46	Char [െ]
ID: 3399	Hex: D47	Char [േ]
ID: 3400	Hex: D48	Char [ൈ]
ID: 3401	Hex: D49	Char [൉]
ID: 3404	Hex: D4C	Char [ൌ]
ID: 3405	Hex: D4D	Char [്]
ID: 3406	Hex: D4E	Char [ൎ]
ID: 3416	Hex: D58	Char [൘]
ID: 3439	Hex: D6F	Char [൯]
ID: 3441	Hex: D71	Char [൱]
ID: 3444	Hex: D74	Char [൴]
